Result: Black wins by checkmate

1: d2d3
2: e4f6
3: d3d4
4: d8e7
5: c1e3
6: f6d5
7: d1c1
8: d5e3
9: f2e3
10: b8c6
11: d4d5
12: c6e5
13: b1c3
14: e5f3
15: g2f3
16: c8d7
17: c3b5
18: e8c8
19: b5a7
20: c8b8
21: a7b5
22: e7h4
23: e1d2
24: h4f2
25: f1e2
26: d7b5
27: c2c4
28: b5d7
29: h1f1
30: f2h4
31: a2a4
32: d7h3
33: d2d1
34: h4h6
35: a4a5
36: g7g5
37: f3f4
38: h3f1
39: f4g5
40: f1e2
41: d1e2
42: h6g6
43: c1c3
44: f8g7
45: c3g7
46: g6g7
47: a1b1
48: g7f8
49: g5g6
50: h7g6
51: b2b4
52: h8h2
53: e2d3
54: h2h8
55: d3c2
56: h8h2
57: c2c3
58: f7f6
59: b1h1
60: h2h1
61: c3d4
62: c7c5
63: b4c5
64: d6c5
65: d4e4
66: d8d5
67: e4d5
68: f8d8
69: d5e6
70: d8a5
71: e6f6
72: a5c3
73: f6g6
74: c3c4
75: g6g5
76: c4f7
77: e3e4
78: h1g1
79: g5h6
80: f7g7
81: h6h5
82: g7h8
