Result: Black wins by checkmate

1: d2d3
2: e4f6
3: d3d4
4: d8e7
5: c1e3
6: f6d5
7: d1c1
8: d5e3
9: f2e3
10: b8c6
11: d4d5
12: c6e5
13: b1c3
14: e5f3
15: g2f3
16: c8d7
17: c3b5
18: e8c8
19: b5a7
20: c8b8
21: a7b5
22: e7h4
23: e1d2
24: h4f2
25: f1e2
26: d7b5
27: c2c4
28: b5d7
29: h1f1
30: f2h4
31: a2a4
32: d7h3
33: d2d1
34: h4h6
35: a4a5
36: g7g5
37: f3f4
38: h3f1
39: f4g5
40: f1e2
41: d1e2
42: h6g6
43: c1c3
44: f8g7
45: c3g7
46: g6g7
47: a1a2
48: g7f8
49: g5g6
50: h7g6
51: a5a6
52: h8h2
53: e2d3
54: b7a6
55: a2a6
56: h2b2
57: a6d6
58: c7d6
59: d3e4
60: f7f5
61: e4d4
62: b2d2
63: d4c3
64: d2d5
65: c4d5
66: f8h8
67: c3c4
68: h8h4
69: c4c3
70: h4e1
71: c3d3
72: d8c8
73: e3e4
74: f5e4
75: d3d4
76: e1c3
77: d4e4
78: c8c4
