Result: Draw by threefold repetition

1: f1b5
2: c8d7
3: b5d7
4: b8d7
5: b1c3
6: e7e5
7: d4b5
8: d7c5
9: b2b4
10: c5a6
11: c3d5
12: f7f5
13: c1e3
14: f5e4
15: e1g1
16: a6b4
17: b5a7
18: b4d5
19: d1d5
20: g8f6
21: d5b3
22: d6d5
23: f1d1
24: e8f7
25: a1b1
26: d8d7
27: b3b5
28: d7b5
29: b1b5
30: d5d4
31: b5b7
32: f7e6
33: a7b5
34: a8a2
35: b5d4
36: e5d4
37: e3d4
38: f8e7
39: b7c7
40: h8a8
41: d4f6
42: e7f6
43: c7c6
44: e6e5
45: f2f4
46: e4f3
47: d1e1
48: e5f5
49: c6c5
50: f5f4
51: c5c4
52: f4g5
53: e1f1
54: a2a4
55: c4a4
56: a8a4
57: f1f3
58: f6a1
59: f3h3
60: h7h5
61: h3d3
62: g5f5
63: g1f2
64: a1e5
65: d3f3
66: f5e6
67: f3b3
68: a4a2
69: b3b6
70: e6f5
71: b6g6
72: f5g6
73: f2f1
74: a2c2
75: g2g3
76: c2h2
77: f1g1
78: e5g3
79: g1f1
80: h2f2
81: f1g1
82: f2f1
83: g1f1
84: g3d6
85: f1f2
86: d6c5
87: f2g3
88: c5d6
89: g3h3
90: g6g5
91: h3g2
92: d6f8
93: g2g3
94: f8d6
95: g3h3
96: d6e5
97: h3g2
98: e5h8
99: g2g3
100: h8e5
101: g3f3
102: e5d6
103: f3e4
104: d6f8
105: e4e5
106: f8g7
107: e5e6
108: h5h4
109: e6e7
110: h4h3
111: e7f7
112: g7c3
113: f7e7
114: c3b4
115: e7e6
116: h3h2
117: e6f7
118: h2h1q
119: f7g8
120: h1d5
121: g8g7
122: d5b7
123: g7g8
124: b7d5
125: g8g7
126: d5b7
127: g7g8
