label,games,white_wins,draws,black_wins,white_score,avg_moves,avg_time_white,avg_time_black
mcts_nn_vs_stockfish_sk1,20.0,6.0,12.0,2.0,0.6,96.2,4.664,4.203
mcts_nn_vs_stockfish_sk10,20.0,7.0,6.0,7.0,0.5,94.7,4.363,4.617
mcts_nn_vs_stockfish_sk13,20.0,7.0,5.0,8.0,0.475,86.3,4.938,5.188
mcts_nn_vs_stockfish_sk15,20.0,9.0,5.0,6.0,0.575,80.6,5.055,4.849
mcts_nn_vs_stockfish_sk20,20.0,7.0,7.0,6.0,0.525,74.6,5.118,4.61
mcts_nn_vs_stockfish_sk3,20.0,5.0,12.0,3.0,0.55,107.0,4.115,4.671
mcts_nn_vs_stockfish_sk5,20.0,4.0,13.0,3.0,0.525,111.2,5.395,4.632
mcts_nn_vs_stockfish_sk8,20.0,8.0,6.0,6.0,0.55,91.4,4.61,5.359
mcts_trad_vs_stockfish_sk1,20.0,11.0,4.0,5.0,0.65,96.9,0.535,0.56
mcts_trad_vs_stockfish_sk10,20.0,10.0,0.0,10.0,0.5,73.8,0.5,0.519
mcts_trad_vs_stockfish_sk13,20.0,10.0,4.0,6.0,0.6,64.6,0.52,0.528
mcts_trad_vs_stockfish_sk15,20.0,9.0,1.0,10.0,0.475,73.6,0.514,0.537
mcts_trad_vs_stockfish_sk20,20.0,10.0,0.0,10.0,0.5,68.5,0.519,0.533
mcts_trad_vs_stockfish_sk3,20.0,4.0,15.0,1.0,0.575,147.7,0.538,0.549
mcts_trad_vs_stockfish_sk5,20.0,8.0,5.0,7.0,0.525,91.6,0.535,0.563
mcts_trad_vs_stockfish_sk8,20.0,10.0,2.0,8.0,0.55,74.5,0.532,0.523
minimax_nn_d3_vs_stockfish_sk1,20.0,10.0,0.0,10.0,0.5,61.6,7.631,7.954
minimax_nn_d3_vs_stockfish_sk10,20.0,5.0,13.0,2.0,0.575,158.5,4.944,4.286
minimax_nn_d3_vs_stockfish_sk13,20.0,5.0,9.0,6.0,0.475,149.2,3.6,3.896
minimax_nn_d3_vs_stockfish_sk15,20.0,6.0,9.0,5.0,0.525,145.7,4.047,3.538
minimax_nn_d3_vs_stockfish_sk20,20.0,4.0,10.0,6.0,0.45,122.2,4.419,4.435
minimax_nn_d3_vs_stockfish_sk3,20.0,9.0,2.0,9.0,0.5,66.4,9.678,7.86
minimax_nn_d3_vs_stockfish_sk5,20.0,10.0,3.0,7.0,0.575,101.6,8.393,7.265
minimax_nn_d3_vs_stockfish_sk8,20.0,4.0,15.0,1.0,0.575,145.4,4.718,4.827
minimax_trad_d4_vs_stockfish_sk1,20.0,9.0,1.0,10.0,0.475,67.0,0.556,0.639
minimax_trad_d4_vs_stockfish_sk10,20.0,7.0,7.0,6.0,0.525,91.0,0.544,0.52
minimax_trad_d4_vs_stockfish_sk13,20.0,6.0,5.0,9.0,0.425,117.6,0.417,0.467
minimax_trad_d4_vs_stockfish_sk15,20.0,9.0,5.0,6.0,0.575,106.3,0.498,0.468
minimax_trad_d4_vs_stockfish_sk20,20.0,5.0,7.0,8.0,0.425,97.0,0.542,0.481
minimax_trad_d4_vs_stockfish_sk3,20.0,6.0,7.0,7.0,0.475,104.2,0.677,0.593
minimax_trad_d4_vs_stockfish_sk5,20.0,6.0,9.0,5.0,0.525,119.4,0.474,0.592
minimax_trad_d4_vs_stockfish_sk8,20.0,7.0,7.0,6.0,0.525,110.8,0.472,0.564
