Result: Draw by threefold repetition

1: c3e2
2: c7c5
3: g1f3
4: b8c6
5: c1f4
6: c5c4
7: c2c3
8: h8g8
9: b2b3
10: g7g5
11: f4e3
12: b7b5
13: d1c2
14: c8b7
15: e2g3
16: g5g4
17: f3d2
18: d8c7
19: h2h3
20: c6e5
21: d4e5
22: d7e5
23: b3c4
24: d5c4
25: a1b1
26: a7a6
27: e3d4
28: f7f5
29: h3g4
30: g8g4
31: f1e2
32: g4g3
33: f2g3
34: b7g2
35: h1g1
36: g2d5
37: e2h5
38: e8e7
39: c2d1
40: c7d6
41: d1e2
42: e5d3
43: e1f1
44: f8h6
45: b1d1
46: e6e5
47: a2a4
48: h6d2
49: d1d2
50: b5a4
51: d2d3
52: c4d3
53: e2e3
54: e7e6
55: d4c5
56: d6d8
57: c5b4
58: a6a5
59: b4a3
60: a8b8
61: e3h6
62: e6d7
63: h6d6
64: d7c8
65: d6e5
66: b8b1
67: f1f2
68: b1g1
69: e5f5
70: d8d7
71: f5d7
72: c8d7
73: f2g1
74: d3d2
75: c3c4
76: d5c4
77: a3b2
78: d7e7
79: b2c3
80: d2d1q
81: h5d1
82: c4b3
83: d1g4
84: b3e6
85: g4e2
86: a4a3
87: e2d1
88: a3a2
89: c3d4
90: h7h6
91: d4b2
92: e7f8
93: g1f2
94: a2a1q
95: b2a1
96: e6f7
97: d1a4
98: h6h5
99: f2e3
100: f7g6
101: a1c3
102: h5h4
103: g3h4
104: g6e8
105: a4e8
106: f8e8
107: h4h5
108: e8f8
109: e3e4
110: a5a4
111: e4f5
112: f8e7
113: h5h6
114: e7f8
115: f5g6
116: f8g8
117: c3b4
118: a4a3
119: b4e7
120: g8h8
121: e7h4
122: h8g8
123: h4e7
124: g8h8
125: e7f6
126: h8g8
