Result: White wins by checkmate

1: f1e2
2: e8g8
3: g1f3
4: b8c6
5: d4d5
6: c6e5
7: f3d4
8: f8e8
9: e1g1
10: c7c6
11: h2h3
12: e7e6
13: d5e6
14: c8e6
15: f2f4
16: e5d7
17: f4f5
18: e6f5
19: e4f5
20: e8e2
21: c3e2
22: g6f5
23: e2g3
24: f5f4
25: g3f5
26: h7h6
27: a2a4
28: d8f8
29: c1f4
30: a8e8
31: f4d6
32: f8d6
33: f5d6
34: e8e5
35: d4f3
36: e5e7
37: d6f5
38: e7e4
39: f1e1
40: e4e1
41: d1e1
42: a7a6
43: f5e7
44: g8h8
45: e7f5
46: g7f8
47: b2b4
48: f8b4
49: e1b4
50: c6c5
51: b4d2
52: h6h5
53: d2h6
54: f6h7
55: a1e1
56: d7f6
57: f3g5
58: h5h4
59: g5f7
60: h8g8
61: h6g7
