Result: White wins by checkmate

1: d1e2
2: b8c6
3: e4e5
4: c6d4
5: e5f6
6: g7f6
7: e2d2
8: e7e5
9: g1e2
10: d4f5
11: c3e4
12: f6h4
13: e4g3
14: f5g7
15: g3e4
16: c8f5
17: e4g3
18: f5c8
19: g3e4
20: h7h6
21: e1g1
22: f7f5
23: d2d5
24: d8e7
25: e4c3
26: c7c6
27: d5d3
28: a7a5
29: g2g3
30: h4g5
31: f1d1
32: e8d7
33: f2f4
34: e5f4
35: e2f4
36: g5f4
37: c1f4
38: g7e8
39: d3d4
40: e7f8
41: f4e3
42: d7c7
43: d1d2
44: g6g5
45: a1d1
46: a5a4
47: c4f1
48: f5f4
49: e3f2
50: f4g3
51: f2g3
52: f8f1
53: d1f1
54: a4a3
55: c3b5
56: c6b5
57: g3d6
58: c7d8
59: d6g3
60: d8e7
61: d4c5
62: e7e6
63: c5d5
64: e6e7
65: d2e2
66: c8e6
67: d5b7
68: e7d8
69: e2d2
70: e6d5
71: b7d5
72: d8e7
73: d5e5
