Result: White wins by checkmate

1: c1e3
2: c7c5
3: f2f4
4: a7a6
5: c3e2
6: f7f6
7: c2c3
8: b8c6
9: d1d2
10: c5d4
11: e2d4
12: d7e5
13: f4e5
14: f6e5
15: d4c2
16: f8e7
17: e1c1
18: b7b5
19: c1b1
20: a8b8
21: g1f3
22: c8d7
23: f1e2
24: e7f6
25: e3c5
26: d8c7
27: f3e1
28: a6a5
29: e2h5
30: e8d8
31: d2e2
32: f6h4
33: e1d3
34: e5e4
35: d3f2
36: c7e5
37: c2d4
38: h4f2
39: d4c6
40: d7c6
41: c5f2
42: b8b7
43: f2g3
44: e5h5
45: e2h5
46: e4e3
47: b1c1
48: c6e8
49: h5g5
50: b7e7
51: g3h4
52: e8f7
53: g5e7
54: d8c8
55: e7f7
56: h8e8
57: f7e8
58: c8b7
59: e8b5
60: b7a8
61: b5a6
62: a8b8
63: h1e1
64: b8c7
65: h4g3
66: c7d7
67: a6d6
68: d7c8
69: d6c7
