Result: White wins by checkmate

1: g2g3
2: b7b5
3: d1c2
4: g7g6
5: a2a4
6: b5b4
7: c3b1
8: c8a6
9: e2e3
10: b4b3
11: c2d1
12: f8g7
13: f3e5
14: d8d5
15: f2f3
16: b8d7
17: e5d7
18: f6d7
19: b1c3
20: d5e6
21: a4a5
22: h8g8
23: f1g2
24: g8h8
25: d1e2
26: a8d8
27: c1d2
28: h8g8
29: a1d1
30: g8h8
31: d1a1
32: h8g8
33: e1g1
34: g8h8
35: e2f2
36: h7h5
37: f1d1
38: c6c5
39: d4d5
40: e6d6
41: f3f4
42: f7f5
43: e3e4
44: g7d4
45: d2e3
46: d4c3
47: b2c3
48: h8h7
49: e4e5
50: d6c7
51: d1d2
52: a6b5
53: e5e6
54: c7a5
55: a1a5
56: d8a8
57: e6d7
58: e8d7
59: f2e1
60: b3b2
61: d2b2
62: h5h4
63: e3c5
64: h4g3
65: h2h3
66: h7h3
67: g2h3
68: a7a6
69: e1e7
70: d7c8
71: b2b1
72: b5d7
73: e7f8
74: d7e8
75: h3f5
76: g6f5
77: f8e8
78: c8c7
79: e8e7
80: c7c8
81: e7b7
82: c8d8
83: b7e7
84: d8c8
85: d5d6
86: g3g2
87: e7e8
