Result: Black wins by checkmate

1: a2a4
2: c7c6
3: c4a2
4: h7h6
5: g1f3
6: a7a5
7: e1g1
8: e8g8
9: c3e2
10: b8d7
11: h2h3
12: f8e8
13: c2c3
14: c5a7
15: f1e1
16: d8c7
17: e2g3
18: d6d5
19: f3h4
20: d7f8
21: d1d2
22: c8e6
23: d2d1
24: c7d8
25: e4d5
26: c6d5
27: e1e5
28: f6g4
29: h3g4
30: d8h4
31: d3d4
32: a7b8
33: e5h5
34: h4g4
35: a2b3
36: g4g6
37: b3d5
38: e6g4
39: d5f7
40: g8f7
41: d1b3
42: f8e6
43: h5h6
44: g7h6
45: b3b7
46: f7g8
47: b7a8
48: b8g3
49: a8e8
50: g6e8
51: f2g3
52: e8b8
53: c1h6
54: b8b2
55: a1c1
56: g4f5
57: g1h2
58: f5e4
59: c1g1
60: b2f2
61: h6c1
62: f2e2
63: h2h3
64: e4f5
65: g3g4
66: e2g4
67: h3h2
68: g4h4
