Result: Draw by threefold repetition

1: g1f3
2: c8g4
3: d4c5
4: d5c5
5: h2h3
6: g4f5
7: c1e3
8: c5c6
9: f3e5
10: c6c8
11: f1e2
12: e7e6
13: d1a4
14: b8c6
15: e2f3
16: f6d5
17: b1d2
18: d5e3
19: f2e3
20: c8c7
21: e5c6
22: e6e5
23: c6e5
24: e8d8
25: f3b7
26: f8d6
27: e5f7
28: c7f7
29: b7a8
30: f5d3
31: a8b7
32: f7h5
33: b7f3
34: d6g3
35: e1d1
36: h5f5
37: a4a7
38: d3c2
39: d1c1
40: h8f8
41: a7g7
42: g3e5
43: g7f8
44: f5f8
45: c1c2
46: e5c3
47: b2c3
48: f8e8
49: f3a8
50: e8a4
51: d2b3
52: d8e7
53: a8b7
54: h7h6
55: b7c8
56: h6h5
57: c8d7
58: a4e4
59: c2d2
60: e4g2
61: d2d3
62: g2g6
63: d7f5
64: g6f5
65: e3e4
66: f5f3
67: d3d2
68: h5h4
69: a1f1
70: f3g2
71: d2d3
72: e7e8
73: d3d4
74: g2g5
75: d4c4
76: g5g6
77: c4d5
78: g6g8
79: d5d4
80: g8g5
81: d4c4
82: g5g6
83: c4d5
84: g6g8
85: d5d4
