Result: Draw by threefold repetition

1: h2h4
2: c7c5
3: g1f3
4: b8c6
5: d4c5
6: f8c5
7: c1f4
8: d8c7
9: d1e2
10: e8g8
11: a2a3
12: f8e8
13: a1d1
14: a7a6
15: h1h3
16: c5f8
17: h4h5
18: f7f6
19: f4h2
20: d7e5
21: h2e5
22: f6e5
23: h3g3
24: g8h8
25: f3h4
26: h8g8
27: h4g6
28: f8a3
29: g6e5
30: a3b2
31: e5c4
32: b2c3
33: g3c3
34: d5c4
35: e2c4
36: c7e5
37: f1e2
38: g8h8
39: c3d3
40: h8g8
41: h5h6
42: g7h6
43: d3g3
44: g8h8
45: g3e3
46: e5a5
47: e1f1
48: h8g7
49: c4e4
50: e8f8
51: d1e1
52: f8f7
53: e2c4
54: c8d7
55: e3h3
56: a8g8
57: f1g1
58: g8f8
59: e1e3
60: f7f2
61: e4g4
62: a5g5
63: e3g3
64: g5g4
65: c2c3
66: g4g3
67: h3g3
68: g7h8
69: g3g6
70: h7g6
71: c4b5
72: f2g2
73: g1h1
74: a6b5
75: h1g2
76: f8f2
77: g2g3
78: f2g2
79: g3h4
80: g2h2
81: h4g3
82: h2g2
83: g3f3
84: g2g3
85: f3f2
86: g3c3
87: f2g2
88: c3c2
89: g2f1
90: c2c1
91: f1f2
92: c1c2
93: f2g3
94: c2c3
95: g3h2
96: c3c2
97: h2g3
98: c2c3
99: g3f2
100: c3c2
