Result: Black wins by checkmate

1: d1f3
2: f5e4
3: f3e4
4: b8d7
5: c2c3
6: g7g6
7: e4h4
8: h7h6
9: g1f3
10: d8c7
11: c1d2
12: a7a6
13: f1c4
14: e7e6
15: e1c1
16: f8e7
17: h4e4
18: g8f6
19: e4e2
20: f6d5
21: a2a3
22: b7b5
23: c4b3
24: a6a5
25: d1e1
26: c7b7
27: g2g4
28: e8f8
29: h2h4
30: e7d6
31: c1b1
32: b5b4
33: c3b4
34: a5b4
35: a3a4
36: d5c3
37: b2c3
38: b4c3
39: d2h6
40: h8h6
41: e2c4
42: a8b8
43: b1c2
44: c6c5
45: d4d5
46: d7b6
47: c4b5
48: e6d5
49: a4a5
50: c5c4
51: a5b6
52: c4b3
53: c2d3
54: b7b6
55: e1e8
56: f8g7
57: e8b8
58: b6f2
59: h1h3
60: h6h4
61: f3h4
62: f2d2
