Result: Draw by threefold repetition

1: c4c5
2: h7h6
3: g5d2
4: e8g8
5: e2e3
6: b8c6
7: f2f4
8: c6a5
9: a2a3
10: b7b6
11: c3b1
12: a5c4
13: g1f3
14: c4d2
15: b1d2
16: b6c5
17: d1c2
18: c5d4
19: e3d4
20: g8h8
21: f1d3
22: h8g8
23: e1g1
24: g8h8
25: b2b4
26: c8d7
27: g2g3
28: h8g8
29: g1h1
30: f6g4
31: d2b3
32: a8b8
33: a1e1
34: d7a4
35: h1g2
36: e7b4
37: e1e2
38: b4a3
39: f1b1
40: a4b3
41: d3h7
42: g8h8
43: b1b3
44: b8b3
45: f3g5
46: h6g5
47: h2h3
48: g5f4
49: c2f5
50: b3g3
51: g2f1
52: e6f5
53: e2e6
54: h8h7
55: h3g4
56: f5g4
57: e6e3
58: g3e3
59: f1g2
60: e3g3
61: g2f1
62: g3f3
63: f1g2
64: f3g3
65: g2f1
66: g3f3
67: f1g1
68: f3g3
