Result: Draw by threefold repetition

1: a2a3
2: d5c4
3: f3e5
4: c7c5
5: c1e3
6: f6d5
7: d1a4
8: b8d7
9: g2g3
10: d5c3
11: a4c2
12: d7e5
13: f1g2
14: c5d4
15: e3d4
16: d8d4
17: f2f4
18: c3e2
19: g2a8
20: e2f4
21: b2b3
22: d4a1
23: e1d2
24: a1a3
25: c2c3
26: c4b3
27: c3c8
28: e8e7
29: g3f4
30: e5f3
31: d2e3
32: f3h2
33: a8e4
34: a3c5
35: c8c5
36: b6c5
37: f4f5
38: e6f5
39: e4c6
40: h2g4
41: e3d2
42: e7f6
43: c6d5
44: b3b2
45: d2c2
46: b2b1q
47: c2b1
48: f8d6
49: h1f1
50: h8b8
51: b1a2
52: b8b2
53: a2b2
54: d6e5
55: b2c1
56: f6g6
57: c1d2
58: g6f6
59: d5a2
60: f6g6
61: a2b1
62: g4h6
63: b1a2
64: h6g8
65: a2f7
66: g6f7
67: d2e3
68: e5d4
69: e3f3
70: g8e7
71: f3f4
72: e7d5
73: f4f3
74: f7g8
75: f1e1
76: g8f8
77: e1h1
78: f8g8
79: h1d1
80: g8h8
81: d1d2
82: h8g8
83: d2e2
84: g8f8
85: e2d2
86: f8g8
87: d2d1
88: g8h8
89: d1d2
