Result: White wins by checkmate

1: d4b3
2: c5f8
3: b1c3
4: a7a6
5: h1g1
6: f8d6
7: f2f4
8: g8f6
9: f1d3
10: e8g8
11: d1f3
12: d8e7
13: d3e2
14: f8e8
15: e4e5
16: d6e5
17: f4e5
18: e7e5
19: f3f4
20: e5e6
21: f4h4
22: a6a5
23: g1f1
24: a5a4
25: f1f6
26: c6b4
27: f6e6
28: b4c2
29: e1d1
30: f7e6
31: h4a4
32: a8a4
33: d1c2
34: a4b4
35: c3b5
36: e6e5
37: b5c7
38: d7d5
39: c7e8
40: d5d4
41: e8g7
42: c8d7
43: b3d4
44: g8g7
45: d4f5
46: g7f8
47: c1h6
48: f8f7
49: f5d6
50: f7g6
51: e2d3
52: g6f6
53: d3h7
54: f6e7
55: d6b7
56: d7g4
57: h6g5
58: e7d7
59: b7c5
60: d7c7
61: c5a6
62: c7d6
63: a6b4
64: g4e6
65: a1d1
66: d6c7
67: b4d5
68: c7c8
69: d5e7
70: c8b7
71: h7e4
72: b7a6
73: d1d6
74: a6a5
75: d6e6
76: a5b5
77: e6e5
78: b5b4
79: e7c6
80: b4a4
81: e5a5
