Result: Draw by threefold repetition

1: a2a4
2: c8e6
3: c1d2
4: e6c4
5: d3c4
6: b8c6
7: g2g3
8: d8d7
9: g1f3
10: f6g4
11: e1g1
12: f7f5
13: f3h4
14: f5f4
15: g3f4
16: e5f4
17: c3d5
18: c6e5
19: d2f4
20: e8g8
21: h4f5
22: g7g6
23: b2b4
24: c5f2
25: f1f2
26: g4f2
27: f4e5
28: f2h3
29: g1g2
30: g6f5
31: e4f5
32: f8f5
33: a1a3
34: f5g5
35: a3g3
36: d7e6
37: d5c7
38: e6e5
39: c7a8
40: h3f4
41: g2f3
42: g5g6
43: d1d2
44: g8h8
45: g3g6
46: f4g6
47: a4a5
48: e5h5
49: f3g3
50: h5e5
51: g3f3
52: e5h5
53: f3g3
54: h5e5
