Result: Black wins by checkmate

1: e2e3
2: h7h6
3: g5h4
4: c7c6
5: d1c2
6: b8d7
7: a2a3
8: d7b6
9: c4d5
10: c6d5
11: f1e2
12: e8g8
13: f2f4
14: f6e8
15: h4f2
16: c8d7
17: g1f3
18: a8c8
19: e1g1
20: b6a4
21: f2e1
22: e8d6
23: f3e5
24: d7e8
25: c2b3
26: a4b6
27: e1f2
28: a7a5
29: b3c2
30: g8h8
31: e2d3
32: b6a4
33: f1b1
34: a4c3
35: b2c3
36: h8g8
37: e5f3
38: g8h8
39: h2h3
40: h8g8
41: a3a4
42: g8h8
43: f2e1
44: f8g8
45: g1h1
46: f7f6
47: c2a2
48: g8f8
49: f3h4
50: c8c6
51: h4f3
52: h8g8
53: h1h2
54: g8h8
55: h2h1
56: h8g8
57: a2b3
58: d8c7
59: b1b2
60: g8h8
61: b3a2
62: c6c3
63: e1c3
64: c7c3
65: b2c2
66: c3d3
67: a1c1
68: d3e3
69: a2b2
70: e8a4
71: c2c7
72: e3f4
73: c7e7
74: h8g8
75: b2a3
76: f8e8
77: e7c7
78: a4c6
79: f3e5
80: f6e5
81: c1c6
82: b7c6
83: a3d6
84: f4f1
85: h1h2
86: e5d4
87: c7a7
88: e8f8
89: d6e7
90: f1f4
91: h2h1
92: f4c1
93: h1h2
94: c1g5
95: e7d7
96: g8h8
97: d7b7
98: h8g8
99: h2h1
100: f8f1
101: h1h2
102: g5e5
103: g2g3
104: e5e2
