Result: Black wins by checkmate

1: a2a3
2: c7c5
3: c3b5
4: c5d4
5: f2f4
6: b8c6
7: b2b4
8: a7a5
9: c1d2
10: a5b4
11: a3b4
12: a8a1
13: d1a1
14: f8b4
15: b5d4
16: c6d4
17: a1d4
18: b4c5
19: d4a4
20: c5g1
21: d2b4
22: d8b6
23: f1b5
24: b6a7
25: g2g3
26: a7a4
27: b5a4
28: g1h2
29: e1f2
30: h2g3
31: f2g3
32: e8d8
33: c2c4
34: d5c4
35: h1b1
36: b7b6
37: b1d1
38: d8c7
39: g3h3
40: h8g8
41: d1c1
42: c8a6
43: b4d6
44: c7c8
45: a4c6
46: g8h8
47: c1a1
48: a6b7
49: c6d7
50: c8d7
51: a1a7
52: d7c6
53: a7a4
54: b6b5
55: a4a3
56: h8e8
57: a3f3
58: c6d5
59: h3h4
60: g7g5
61: f4g5
62: b7c6
63: d6b4
64: d5e5
65: f3f7
66: c6e4
67: h4g4
68: e4f5
69: g4h4
70: e8d8
71: b4c3
72: d8d4
73: h4g3
74: e5e4
75: g3h4
76: e4d3
77: c3d4
78: d3d4
79: f7d7
80: d4c3
81: h4g3
82: b5b4
83: d7f7
84: b4b3
85: g3h4
86: b3b2
87: f7b7
88: b2b1q
89: b7b1
90: f5b1
91: h4g4
92: b1f5
93: g4f4
94: e6e5
95: f4e5
96: f5d3
97: g5g6
98: h7g6
99: e5e6
100: d3f5
101: e6e5
102: f5c2
103: e5d6
104: c3d4
105: d6d7
106: c2f5
107: d7c7
108: c4c3
109: c7b8
110: c3c2
111: b8c7
112: c2c1q
113: c7b6
114: c1c5
115: b6a6
116: f5c8
