Result: White wins by checkmate

1: e4g3
2: f5g6
3: h2h4
4: d8d4
5: d1d4
6: g6c2
7: d4d2
8: c2g6
9: g1e2
10: g8f6
11: a2a3
12: a7a5
13: e2c3
14: h7h6
15: h1h3
16: f6g8
17: b2b3
18: h8h7
19: a1a2
20: g8f6
21: c1b2
22: f6g8
23: d2c1
24: e7e5
25: a2a1
26: f8e7
27: c3a4
28: e7h4
29: h3h4
30: h6h5
31: h4h1
32: h5h4
33: h1g1
34: h4g3
35: f2g3
36: b7b6
37: b2c3
38: g8h6
39: a1a2
40: b8d7
41: a4b2
42: e8c8
43: b2d1
44: c8b8
45: a2e2
46: b8c7
47: c3b2
48: h6g4
49: b3b4
50: a5b4
51: a3b4
52: h7h8
53: e2e3
54: g4e3
55: c1e3
56: f7f6
57: g3g4
58: c7b7
59: e3c3
60: b6b5
61: d1f2
62: e5e4
63: c3e3
64: h8e8
65: b2d4
66: d8a8
67: g1h1
68: b7c7
69: f2d1
70: e8d8
71: g4g5
72: f6g5
73: d4b2
74: d7b6
75: g2g3
76: a8a7
77: g3g4
78: d8e8
79: f1b5
80: c6b5
81: e3g5
82: e8e6
83: h1h8
84: c7c6
85: d1e3
86: a7a4
87: h8b8
88: a4b4
89: b2c3
90: b6d7
91: g5d5
92: c6c7
93: b8b7
94: c7d8
95: d5d7
