Result: Draw by threefold repetition

1: d4b3
2: c5e7
3: b1c3
4: d7d6
5: h2h3
6: c6e5
7: b3d4
8: c7c5
9: d4f5
10: e7f8
11: f5g3
12: g8f6
13: g3h5
14: a8b8
15: h5g3
16: f8e7
17: f1e2
18: e8g8
19: f2f4
20: e5c6
21: e1g1
22: b7b6
23: e2b5
24: c8b7
25: b5d3
26: g7g6
27: f4f5
28: c6e5
29: d3e2
30: g8h8
31: c1h6
32: f8e8
33: h6g5
34: d6d5
35: g5f6
36: e7f6
37: e4d5
38: b7c8
39: f5g6
40: h7g6
41: g3e4
42: f6g7
43: d1d2
44: f7f5
45: e4g5
46: a7a6
47: d2f4
48: g7h6
49: f4e5
50: h8g8
51: e5b8
52: d8g5
53: e2a6
54: g5e3
55: g1h1
56: c8a6
57: b8b6
58: e3g3
59: b6a6
60: h6f4
61: f1f4
62: g8g7
63: f4f5
64: g6f5
65: a6a7
66: g7g6
67: a7c5
68: e8e1
69: a1e1
70: g6f7
71: c5e7
72: f7g8
73: e7e6
74: g8g7
75: e6f5
76: g3h4
77: f5g4
78: h4g4
79: h3g4
80: g7h7
81: e1e7
82: h7g6
83: e7e6
84: g6h7
85: e6e7
86: h7h8
87: e7e8
88: h8g7
89: e8e7
90: g7h6
91: e7e6
92: h6h7
