Result: Draw by threefold repetition

1: h2h4
2: b8c6
3: b1c3
4: f8e7
5: h4h5
6: a8b8
7: h1h3
8: e6e5
9: d4f5
10: c8f5
11: e4f5
12: a7a6
13: h3g3
14: c6d4
15: g3g7
16: b8c8
17: f1d3
18: d6d5
19: g7g3
20: e7f6
21: g3g4
22: g8e7
23: c1e3
24: d8a5
25: e3d2
26: a5c5
27: d2e3
28: e5e4
29: g4e4
30: d5e4
31: c3e4
32: c5e5
33: e4f6
34: e5f6
35: e3d4
36: f6g5
37: d3a6
38: e8g8
39: a6b7
40: c8d8
41: g2g4
42: d8d7
43: b7e4
44: g5f4
45: d1d3
46: f8d8
47: d3e3
48: f4g4
49: f2f3
50: e7f5
51: f3g4
52: f5e3
53: d4e3
54: d8e8
55: e4c6
56: e8e3
57: e1f2
58: d7e7
59: c6b5
60: e3e4
61: f2f3
62: e4b4
63: a2a4
64: b4b2
65: b5d3
66: b2b6
67: g4g5
68: b6e6
69: a4a5
70: h7h6
71: g5h6
72: g8h8
73: a5a6
74: e6f6
75: f3g4
76: e7e8
77: g4g5
78: f6c6
79: g5f5
80: e8a8
81: f5g5
82: c6e6
83: g5f5
84: a8a7
85: f5g5
86: a7a8
87: g5f5
88: e6c6
89: f5g5
