Result: Black wins by checkmate

1: f1d3
2: f7f5
3: e1g1
4: f8e7
5: a2a3
6: e8g8
7: d3b5
8: h7h6
9: d2d3
10: c7c6
11: b5c4
12: d6d5
13: c4a2
14: e4f6
15: f1e1
16: c6c5
17: b1c3
18: b8c6
19: c3e2
20: g7g5
21: h2h4
22: g5g4
23: f3h2
24: g8g7
25: h2f1
26: g7h7
27: e2f4
28: d8d7
29: f4e2
30: f6g8
31: h4h5
32: e7g5
33: e2f4
34: g8f6
35: f4e6
36: f8g8
37: e6c5
38: d7d6
39: d3d4
40: b7b6
41: c5d3
42: f5f4
43: d3e5
44: c8f5
45: c2c4
46: f6e4
47: c4d5
48: g4g3
49: f2g3
50: c6e5
51: g3f4
52: g5h4
53: f4e5
54: h4f2
55: g1h2
56: d6d8
57: c1h6
58: d8h4
