Result: White wins by checkmate

1: c3e2
2: b8c6
3: c2c3
4: h7h6
5: e2f4
6: g7g5
7: f4d3
8: f7f6
9: d1h5
10: e8e7
11: h2h4
12: f8g7
13: h5g6
14: d8g8
15: h4g5
16: f6g5
17: a1b1
18: c6e5
19: d4e5
20: d7e5
21: d3e5
22: c8d7
23: g1f3
24: d7a4
25: b2b3
26: a4b3
27: b1b3
28: g7e5
29: f3e5
30: g8g6
31: e5g6
32: e7f6
33: g6h8
34: a8h8
35: b3b7
36: h8h7
37: f1a6
38: h6h5
39: e1e2
40: e6e5
41: b7b5
42: c7c6
43: b5b4
44: c6c5
45: b4b5
46: h7c7
47: f2f3
48: h5h4
49: a2a4
50: f6f5
51: b5b2
52: f5f6
53: a6b7
54: c7b7
55: b2b7
56: a7a5
57: h1d1
58: h4h3
59: b7b8
60: h3g2
61: b8b6
62: f6f5
63: d1g1
64: c5c4
65: g1g2
66: g5g4
67: g2g4
68: e5e4
69: c1h6
70: f5e5
71: f3f4
72: e5f5
73: g4g2
74: e4e3
75: e2e3
76: d5d4
77: c3d4
78: c4c3
79: g2g5
