Result: White wins by checkmate

1: h2h4
2: d5c4
3: c1g5
4: b8c6
5: e2e3
6: c8a6
7: d1a4
8: a6b7
9: f3e5
10: d8d4
11: e3d4
12: b6b5
13: a4b5
14: h7h6
15: b5b7
16: c6e5
17: d4e5
18: h6g5
19: b7a8
20: e8d7
21: a1d1
22: f6d5
23: d1d5
24: e6d5
25: a8d5
26: d7e7
27: f1c4
28: g5h4
29: d5b5
30: f7f5
31: b5d5
32: f5f4
33: d5f7
34: e7d8
35: f7d5
36: d8e7
37: a2a3
38: g7g5
39: d5f7
40: e7d8
41: f7d5
42: d8e7
43: b2b3
44: h8h7
45: d5b5
46: e7d8
47: b5b8
48: d8d7
49: e5e6
50: d7c6
51: b8b5
52: c6d6
53: c3e4
54: d6e7
55: b5d7
