Result: White wins by checkmate

1: f1c4
2: f8d6
3: b1c3
4: e8g8
5: b2b3
6: c7c5
7: c1b2
8: c5d4
9: c3b5
10: d6b4
11: e1e2
12: d4e3
13: d1d8
14: f8d8
15: b5c7
16: e3f2
17: c7a8
18: f6e4
19: h1d1
20: d8d7
21: d1d7
22: b8d7
23: a8c7
24: d7b6
25: c7b5
26: b4c5
27: b2d4
28: c5d4
29: b5d4
30: b6c4
31: b3c4
32: g8f8
33: a1f1
34: e4c3
35: e2e3
36: c3a2
37: d4b3
38: a2c3
39: e3f2
40: c3e4
41: f2e2
42: e4d6
43: b3d2
44: d6c4
45: d2c4
46: b7b5
47: c4d6
48: c8a6
49: f1a1
50: b5b4
51: a1a6
52: h7h6
53: e2d2
54: b4b3
55: d2c3
56: b3b2
57: c3b2
58: f8e7
59: b2c2
60: g7g6
61: d6e4
62: f7f5
63: e4c5
64: f5f4
65: a6a7
66: e7f6
67: c5e4
68: f6f5
69: a7a5
70: e6e5
71: a5e5
72: f5g4
73: e4f6
