Result: Black wins by checkmate

1: a4c6
2: d7c6
3: d2d3
4: d8d6
5: f3e5
6: d6e5
7: f2f4
8: e5a5
9: c1d2
10: a5b5
11: d1c1
12: b5b6
13: a2a3
14: f8c5
15: b2b4
16: c5d4
17: d2c3
18: f6g4
19: c3d4
20: b6d4
21: a1a2
22: d4f2
23: e1d1
24: g4e3
25: c1e3
26: f2e3
27: f4f5
28: c8d7
29: h2h3
30: e3f2
31: g2g4
32: f2g2
33: h1e1
34: g2h3
35: e1g1
36: h3h2
37: g1f1
38: a8b8
39: a2a1
40: h2e5
41: c2c3
42: c6c5
43: b4c5
44: e5h2
45: a3a4
46: f7f6
47: b1d2
48: h8f8
49: c3c4
50: h7h5
51: g4h5
52: f8g8
53: d3d4
54: a6a5
55: d4d5
56: b8d8
57: f1e1
58: b7b6
59: c5b6
60: c7b6
61: a1a3
62: d8a8
63: a3a1
64: a8d8
65: e1f1
66: d8b8
67: a1a3
68: g8h8
69: f1e1
70: e8f8
71: e1h1
72: h2h1
73: d1c2
74: h1h5
75: d2f1
76: h5e2
77: f1d2
78: d7a4
79: a3a4
80: h8h2
81: c2b1
82: e2d3
83: b1a1
84: d3d4
85: a1a2
86: h2d2
87: a2b1
88: d4g1
