Result: Black wins by checkmate

1: f1b5
2: b8d7
3: d1f3
4: a7a6
5: b5e2
6: f8g7
7: c1e3
8: d7e5
9: f3f4
10: d8c7
11: e1g1
12: e5g4
13: e2g4
14: e7e5
15: f4g5
16: g7f6
17: g4c8
18: f6g5
19: e3g5
20: c7c8
21: h2h3
22: f7f6
23: g5f6
24: g8f6
25: b1d2
26: e8e7
27: d4f5
28: g6f5
29: e4f5
30: h8g8
31: c2c3
32: c8d8
33: a2a4
34: a8b8
35: a4a5
36: e7f8
37: f2f4
38: g8g7
39: f4e5
40: d6e5
41: f1d1
42: d8d5
43: g2g3
44: g7g3
45: g1f1
46: d5h1
47: f1f2
48: f6e4
49: f2e2
50: e4c3
51: b2c3
52: h1g2
53: e2e1
54: g2g1
55: d2f1
56: g3e3
57: e1d2
58: g1f2
59: d2c1
60: e3c3
61: c1b1
62: f2f5
63: d1d3
64: f5d3
65: b1a2
66: d3c2
