Result: White wins by checkmate

1: f2f4
2: c8g4
3: d1d3
4: b8c6
5: h2h3
6: c6b4
7: c4f7
8: e8f7
9: d3c4
10: g4e6
11: c4b4
12: d6d5
13: e4e5
14: f6e4
15: g1f3
16: a7a5
17: b4b7
18: a8b8
19: b7a6
20: b8a8
21: a6d3
22: e4c3
23: f3g5
24: f7e8
25: g5e6
26: c3a2
27: d3b5
28: e8f7
29: e6d8
30: h8d8
31: a1a2
32: g7e5
33: f4e5
34: f7g8
35: b5d3
36: g8f7
37: h1f1
38: f7e6
39: c1g5
40: d8e8
41: e1d1
42: a5a4
43: g5h6
44: e8h8
45: d3b5
46: h8d8
47: b5c6
48: d8d6
49: e5d6
50: c7d6
51: f1e1
52: e6f6
53: e1f1
54: f6e6
55: a2a3
56: a8f8
57: f1e1
58: e6f7
59: a3f3
60: f7g8
61: c6d5
62: f8f7
63: d5a8
64: f7f8
65: f3f8
