Result: Black wins by checkmate

1: h2h3
2: c5d4
3: g1f3
4: d4c3
5: d1d5
6: f6d5
7: b1c3
8: e7e6
9: c3d5
10: e6d5
11: c1f4
12: f8b4
13: f4d2
14: b8c6
15: d2b4
16: c6b4
17: e1d2
18: e8e7
19: d2c3
20: b4c6
21: a1e1
22: c8e6
23: f1d3
24: a8c8
25: e1e3
26: g7g5
27: h1e1
28: h7h6
29: g2g4
30: h6h5
31: d3f5
32: h5g4
33: f5e6
34: f7e6
35: e3e6
36: e7d7
37: f3g5
38: c6d8
39: c3d4
40: d8e6
41: g5e6
42: h8e8
43: e6c5
44: c8c5
45: e1e8
46: c5c4
47: d4d5
48: d7e8
49: d5c4
50: g4h3
51: f2f3
52: e8d8
53: c4d3
54: h3h2
55: d3e3
56: h2h1q
57: f3f4
58: h1c1
59: e3f3
60: c1b2
61: a2a4
62: b2b3
63: f3e4
64: b3a4
65: e4e5
66: a4b5
67: e5f6
68: b5c5
69: f4f5
70: b7b6
71: f6e6
72: c5e7
73: e6d5
74: a7a6
75: d5c6
76: e7c7
77: c6d5
78: b6b5
79: d5e6
80: c7g7
81: f5f6
82: g7h6
83: e6f7
84: d8d7
85: f7g8
86: h6g5
87: g8f8
88: g5h6
89: f8f7
90: h6g5
91: f7f8
92: d7e6
93: f6f7
94: b5b4
95: f8e8
96: g5b5
97: e8f8
98: e6f6
99: f8g8
100: b5g5
101: g8f8
102: g5g6
103: f8e8
104: b4b3
105: e8d8
106: f6f7
107: d8c7
108: g6e6
109: c7b7
110: f7e7
111: b7a8
112: b3b2
113: a8a7
114: a6a5
115: a7b7
116: b2b1q
117: b7a7
118: a5a4
119: a7a8
120: e6c6
121: a8a7
122: c6b7
