Result: Black wins by checkmate

1: g1f3
2: a7a5
3: d3d4
4: e5d4
5: f3d4
6: a5a4
7: e1g1
8: e8g8
9: c1g5
10: b8d7
11: a2a3
12: c7c6
13: g5f4
14: d7b6
15: d1d3
16: f6g4
17: f2f3
18: g4e5
19: c4f7
20: e5f7
21: f4e3
22: f7e5
23: d3d2
24: e5c4
25: d2c1
26: c4e3
27: c1e3
28: b6c4
29: c3a4
30: c4e3
31: d4c6
32: b7c6
33: a4c5
34: e3f1
35: g1f1
36: d8h4
37: f1g1
38: g7g5
39: c5b3
40: c8d7
41: c2c4
42: a8b8
43: c4c5
44: b8e8
45: c5d6
46: g5g4
47: f3g4
48: d7c8
49: b3c5
50: h4f2
51: g1h1
52: f2f1
53: a1f1
54: f8f1
