Result: Draw by threefold repetition

1: a2a3
2: f6e4
3: c3e4
4: g7d4
5: g1f3
6: d4f6
7: e4f6
8: e7f6
9: f1e2
10: g6g5
11: b2b4
12: a7a5
13: c4c5
14: a5b4
15: h2h4
16: d6c5
17: d1b3
18: c8e6
19: e2c4
20: e6c4
21: b3c4
22: d8e7
23: e1f1
24: b4a3
25: h4g5
26: b8d7
27: h1h4
28: d7b6
29: c4d3
30: c5c4
31: d3d4
32: a8d8
33: g5f6
34: d8d4
35: f6e7
36: d4h4
37: f3h4
38: e8e7
39: h4f3
40: h8e8
41: a1a3
42: e8d8
43: c1e3
44: b6d5
45: a3a7
46: b7b5
47: f1e2
48: d5e3
49: g2g3
50: e3g4
51: a7b7
52: d8d5
53: f3h4
54: g4f2
55: b7c7
56: e7d6
57: c7c8
58: f2e4
59: h4f3
60: d5c5
61: c8e8
62: f7f5
63: e2e3
64: e4g3
65: f3d4
66: d6d5
67: d4f3
68: g3f1
69: e3e2
70: f1g3
71: e2e1
72: g3e4
73: e8f8
74: d5e6
75: f8h8
76: e6f7
77: f3d4
78: f7g6
79: d4e6
80: c5c6
81: e6d4
82: c6c5
83: h8g8
84: g6f7
85: g8h8
