Result: White wins by checkmate

1: a2a3
2: d6d5
3: e2e4
4: d5e4
5: c1f4
6: b8c6
7: c3b5
8: e4f3
9: g1f3
10: e7e5
11: d1e2
12: c8e6
13: d4e5
14: f6h5
15: f4e3
16: c6e5
17: e3a7
18: e6c4
19: e2e3
20: c4f1
21: h1f1
22: d8e7
23: e1c1
24: e8f8
25: a7c5
26: e7c5
27: e3c5
28: f8g8
29: c1b1
30: e5f3
31: f1f3
32: c7c6
33: g2g4
34: g7f8
35: c5f2
36: a8a3
37: f3c3
38: a3c3
39: b2c3
40: c6b5
41: g4h5
42: b5b4
43: c3c4
44: b7b6
45: f2f6
46: h7h6
47: d1d8
48: g6h5
49: d8e8
50: h5h4
51: e8d8
52: g8h7
53: d8d2
54: f8g7
55: f6f4
56: h7g6
57: d2d6
58: f7f6
59: f4g4
60: g6h7
61: g4f5
62: h7g8
63: f5c8
64: g8f7
65: c8b7
66: f7g8
67: b7d5
68: g8f8
69: d5g2
70: h8h7
71: d6d2
72: h4h3
73: g2e2
74: f8f7
75: e2d3
76: f7f8
77: d3h3
78: b6b5
79: h3c8
80: f8f7
81: c8d7
82: f7g8
83: d7e6
84: g8f8
85: d2d8
