Result: White wins by checkmate

1: a4c6
2: b7c6
3: b1c3
4: d7d6
5: d2d4
6: f6d7
7: d4e5
8: a6a5
9: c1g5
10: f7f6
11: e5f6
12: d7f6
13: g5f6
14: d8f6
15: e1g1
16: f8e7
17: c3d5
18: c6d5
19: d1d5
20: a8a7
21: e4e5
22: f6g6
23: d5d4
24: a7a6
25: f1e1
26: e8d8
27: d4c4
28: a5a4
29: e5e6
30: a4a3
31: a1b1
32: g6f6
33: c2c3
34: h8f8
35: e1e4
36: f6f5
37: h2h3
38: a6b6
39: b2b4
40: d6d5
41: b1d1
42: c8e6
43: e4e5
44: b6d6
45: c4d4
46: f5g6
47: g1h2
48: g6f7
49: d1g1
50: d6b6
51: g1e1
52: h7h6
53: h2g1
54: e7f6
55: e5d5
56: e6d5
57: d4d5
58: f7d7
59: d5b3
60: d7c6
61: e1c1
62: f8e8
63: b3a3
64: b6a6
65: a3b3
66: d8c8
67: b4b5
68: c6b7
69: b5a6
70: b7a6
71: c1e1
72: e8d8
73: f3d4
74: h6h5
75: d4e6
76: d8d3
77: e6c5
78: f6c3
79: b3c3
80: a6a3
81: c3a3
82: d3a3
83: e1e8
