Result: White wins by checkmate

1: c4b3
2: b8c6
3: h2h3
4: f6e4
5: c3e4
6: d6d5
7: e4c3
8: h7h5
9: g1f3
10: c8e6
11: b3a4
12: h5h4
13: a4c6
14: b7c6
15: c3a4
16: e8d7
17: a4c5
18: d7e8
19: c5e6
20: f7e6
21: d1d3
22: g7d4
23: f3d4
24: h8g8
25: d4b3
26: e8f8
27: a2a4
28: e6e5
29: d3e2
30: d8d6
31: a4a5
32: a7a6
33: c1d2
34: e7e6
35: c2c4
36: d5c4
37: e2c4
38: f8e7
39: c4e2
40: e7f8
41: a1a4
42: g8h8
43: h1f1
44: f8g8
45: d2c3
46: d6d1
47: e2d1
48: h8h5
49: f2f3
50: g8f8
51: g2g4
52: h4g3
53: a4g4
54: h5h3
55: g4g3
56: h3g3
57: c3e5
58: g3f3
59: d1f3
60: f8e7
61: f3f7
62: e7d8
63: f7c7
64: d8e8
65: c7c6
66: e8e7
67: c6d6
68: e7e8
69: f1f8
