Result: White wins by checkmate

1: b1c3
2: f6d5
3: f1c4
4: d5c3
5: b2c3
6: b8c6
7: e1g1
8: f8d6
9: e3e4
10: h7h6
11: e4e5
12: d6e7
13: h2h4
14: e7h4
15: f3h4
16: d8h4
17: f1e1
18: e8g8
19: e1e3
20: c6a5
21: e3h3
22: h4h3
23: g2h3
24: a5c4
25: g1h2
26: f7f6
27: d1e2
28: c4e5
29: d4e5
30: f6e5
31: c1e3
32: f8f5
33: e2d1
34: b7b6
35: d1d8
36: f5f8
37: d8c7
38: f8f2
39: e3f2
40: g8f8
41: c7d8
42: f8f7
43: d8c7
44: f7f8
45: a1e1
46: f8g8
47: c7c6
48: a8b8
49: c6e8
50: g8h7
51: h3h4
52: b8a8
53: e8f7
54: e5e4
55: e1e4
56: h6h5
57: e4f4
58: h7h6
59: f4f6
60: h6h7
61: f7h5
62: h7g8
63: h5f7
64: g8h7
65: f6g6
66: c8d7
67: f7g7
