Result: Black wins by checkmate

1: d4c6
2: d8f6
3: d1f3
4: d7c6
5: f3f6
6: g8f6
7: b2b4
8: c5b4
9: c2c3
10: b4a5
11: e4e5
12: f6d5
13: c1d2
14: c8f5
15: c3c4
16: d5b4
17: d2b4
18: a5b4
19: e1e2
20: e8c8
21: a2a3
22: b4c5
23: h2h3
24: c5d4
25: f2f4
26: d4a1
27: b1d2
28: f5e6
29: g2g4
30: a1c3
31: d2e4
32: c3a5
33: e4d6
34: c7d6
35: e5d6
36: c8b8
37: c4c5
38: e6d5
39: h1g1
40: g7g6
41: e2d3
42: d5b3
43: g1h1
44: h7h5
45: g4h5
46: g6h5
47: f1e2
48: b3d5
49: e2h5
50: d5h1
51: h5f7
52: h8h7
53: f7e6
54: h7h5
55: a3a4
56: h1d5
57: e6d5
58: h5d5
59: d3e4
60: d8d7
61: f4f5
62: a5d2
63: h3h4
64: d7d8
65: f5f6
66: d2c3
67: f6f7
68: d8f8
69: e4e3
70: a7a5
71: e3e4
72: f8f7
73: e4e3
74: f7f8
75: e3e4
76: c3b4
77: d6d7
78: d5d7
79: h4h5
80: f8e8
81: e4f5
82: d7d5
83: f5f6
84: e8f8
85: f6e6
86: b4c5
87: h5h6
88: d5d8
89: h6h7
90: d8e8
91: e6d7
92: e8e7
