Result: Draw by threefold repetition

1: g1f3
2: e8g8
3: c4d5
4: f6d5
5: g5d2
6: d5c3
7: b2c3
8: b8d7
9: d1b1
10: c7c5
11: e2e3
12: c5d4
13: c3d4
14: g7g6
15: f1d3
16: a7a5
17: b1b2
18: d8b6
19: b2b1
20: b6b1
21: a1b1
22: f8e8
23: e1e2
24: b7b6
25: d3b5
26: c8a6
27: h1c1
28: a6b5
29: b1b5
30: a8c8
31: c1b1
32: c8c7
33: e2d3
34: e8c8
35: g2g4
36: c7c2
37: a2a4
38: c2a2
39: g4g5
40: g8g7
41: f3e1
42: a2a4
43: h2h3
44: a4a2
45: d3e2
46: c8h8
47: e1d3
48: h7h6
49: d3c1
50: a2a4
51: g5h6
52: h8h6
53: d2c3
54: h6h3
55: c1d3
56: g7h8
57: c3b2
58: h3h5
59: b5b3
60: e7d6
61: e3e4
62: h8g8
63: d3e1
64: a4b4
65: b2c3
66: b4b3
67: b1b3
68: e6e5
69: e1d3
70: e5d4
71: c3d4
72: a5a4
73: b3c3
74: d6c5
75: d3c5
76: b6c5
77: d4e3
78: g8g7
79: c3c4
80: a4a3
81: e3d2
82: f7f5
83: c4a4
84: h5h3
85: f2f3
86: f5e4
87: f3e4
88: d7b6
89: a4a5
90: b6c4
91: a5a6
92: h3h2
93: e2f3
94: c4d2
95: f3g4
96: d2e4
97: g4f3
98: a3a2
99: f3e4
100: h2b2
101: e4e3
102: c5c4
103: a6a8
104: c4c3
105: e3d3
106: c3c2
107: a8a4
108: c2c1q
109: a4a7
110: g7f8
111: a7a8
112: f8f7
113: a8a7
114: f7f8
115: a7a8
116: f8f7
117: a8a7
