Result: Draw by threefold repetition

1: g1f3
2: c8g4
3: h2h3
4: g4e6
5: c4e6
6: f7e6
7: d3d4
8: c5d4
9: f3d4
10: e5d4
11: d1d4
12: h7h6
13: d4c4
14: e8f7
15: c4b4
16: b8c6
17: b4b7
18: c6d4
19: e1d1
20: a8b8
21: b7a7
22: e6e5
23: a7a4
24: d6d5
25: e4d5
26: d8d6
27: a4a7
28: h8d8
29: a7a4
30: f7g8
31: a4a5
32: c7c6
33: a5a6
34: d4b5
35: c3b5
36: d6d5
37: b5d4
38: d5g2
39: a6f1
40: g2f3
41: d1e1
42: d8d4
43: c1e3
44: f3e4
45: c2c3
46: d4d6
47: b2b3
48: f6d5
49: c3c4
50: d5f4
51: a1d1
52: d6d3
53: d1d3
54: b8a8
55: d3d2
56: c6c5
57: h1g1
58: g7g5
59: h3h4
60: a8a2
61: g1g5
62: g8h8
63: g5e5
64: a2a1
65: d2d1
66: e4e5
67: e1d2
68: e5d6
69: d2c2
70: d6g6
71: c2c3
72: g6g7
73: c3d2
74: g7f6
75: d1a1
76: f6b2
77: d2d1
78: b2b3
79: d1c1
80: h6h5
81: e3f4
82: h8g8
83: a1a8
84: g8g7
85: a8a7
86: g7f8
87: f4d6
88: f8e8
89: d6c5
90: b3c3
91: c1d1
92: c3b3
93: d1e1
94: b3c3
95: e1d1
96: c3b3
97: d1e1
98: b3c3
