Result: Draw by threefold repetition

1: f1d3
2: b8c6
3: c1e3
4: a5b4
5: g1e2
6: c8e6
7: e1g1
8: e8c8
9: a2a3
10: b4a5
11: f1e1
12: a7a6
13: b2b3
14: f6g4
15: e3f4
16: c6d4
17: e2d4
18: d8d4
19: c3e4
20: a5h5
21: d1d2
22: h7h6
23: h2h3
24: g4e5
25: d2c3
26: d4d5
27: a1d1
28: e5c6
29: f2f3
30: e6d7
31: g1h1
32: d7h3
33: d3a6
34: h3d7
35: h1g1
36: d5d1
37: a6b7
38: c8b7
39: e1d1
40: e7e5
41: g2g4
42: d7g4
43: e4g3
44: g4f3
45: g3h5
46: f3d1
47: f4e3
48: d1h5
49: a3a4
50: f8b4
51: c3c4
52: h8d8
53: c4b5
54: b7c8
55: b5c6
56: f7f6
57: c6a6
58: c8d7
59: a6b7
60: b4c3
61: b7b5
62: d7c8
63: a4a5
64: h5e8
65: b5a6
66: c8b8
67: a6a7
68: b8c8
69: a7a6
70: c8b8
71: a6a7
72: b8c8
