Result: White wins by checkmate

1: c1f4
2: c8d7
3: e2e3
4: d5c4
5: f1e2
6: b6b5
7: e1g1
8: h7h6
9: a2a4
10: g7g5
11: f4g3
12: b5b4
13: c3b5
14: d7b5
15: a4b5
16: c4c3
17: b5b6
18: c7b6
19: f3e5
20: c3b2
21: a1b1
22: b8d7
23: e2b5
24: a7a6
25: b5c6
26: a8c8
27: d1f3
28: c8c6
29: f3c6
30: f6h5
31: d4d5
32: h5g3
33: f2g3
34: h8h7
35: b1b2
36: e6d5
37: b2f2
38: d8e7
39: e5g4
40: e7e6
41: g4f6
42: e6f6
43: f2f6
44: a6a5
45: c6c8
46: e8e7
47: f6f2
48: h7g7
49: c8a8
50: g5g4
51: f2f4
52: e7e6
53: a8c6
54: f8d6
55: f4d4
56: g7g5
57: g1h1
58: d7b8
59: c6b6
60: g5g6
61: e3e4
62: b8d7
63: b6b7
64: d5e4
65: d4d6
66: e6d6
67: f1c1
68: f7f6
69: b7a6
70: d6e5
71: a6b7
72: f6f5
73: b7d7
74: g6c6
75: d7c6
76: e4e3
77: c6c7
78: e5e4
79: c7e7
80: e4d4
81: e7d7
82: d4e4
83: d7c6
84: e4d4
85: c1d1
86: d4e5
87: c6d6
88: e5e4
89: d6d5
