Result: Black wins by checkmate

1: d2d4
2: e5d4
3: c3d4
4: c5b4
5: b1d2
6: f6e4
7: e1g1
8: b4d2
9: c1d2
10: e4d2
11: d1d2
12: e8g8
13: d4d5
14: c6b8
15: f1e1
16: d7d6
17: c4b3
18: a7a6
19: a2a3
20: c8f5
21: f3d4
22: d8d7
23: d4f5
24: d7f5
25: a1c1
26: f5d7
27: b3a4
28: d7a4
29: c1c7
30: a6a5
31: c7b7
32: b8a6
33: b7e7
34: a6c5
35: d2c3
36: a4b3
37: c3b3
38: c5b3
39: e1e3
40: a8b8
41: e3b3
42: b8b3
43: e7f7
44: g8f7
45: h2h3
46: f7f6
47: g1h2
48: f8e8
49: h2g1
50: b3b2
51: g2g3
52: b2e2
53: f2f4
54: f6f5
55: g3g4
56: f5f4
57: h3h4
58: e2d2
59: g1f1
60: e8e3
61: h4h5
62: f4g5
63: a3a4
64: d2b2
65: h5h6
66: g7g6
67: f1g1
68: e3d3
69: g1f1
70: d3a3
71: f1e1
72: a3a1
