Result: White wins by checkmate

1: c1e3
2: c7c5
3: f2f4
4: b8c6
5: g1e2
6: d8b6
7: d1d2
8: b6b2
9: a1b1
10: b2a3
11: c3b5
12: a3a2
13: b5c7
14: e8d8
15: e2c3
16: a2b1
17: c3b1
18: d8c7
19: f1e2
20: c5d4
21: e3f2
22: f8b4
23: c2c3
24: b4a5
25: e1g1
26: a7a6
27: d2b2
28: b7b5
29: h2h3
30: d7b6
31: b2a3
32: b6c4
33: e2c4
34: d5c4
35: f2d4
36: b5b4
37: a3a1
38: h8d8
39: d4f2
40: d8d5
41: f1c1
42: b4b3
43: b1a3
44: h7h6
45: a3c4
46: f7f5
47: c1e1
48: g7g5
49: c4a5
50: d5a5
51: a1d1
52: b3b2
53: d1d6
54: c7b7
55: d6d2
56: a5b5
57: d2c2
58: g5f4
59: c3c4
60: b2b1q
61: e1b1
62: b5b4
63: g1h2
64: a8b8
65: b1b4
66: c6b4
67: c2d2
68: a6a5
69: d2d4
70: b4d5
71: d4a7
72: b7c6
73: c4d5
74: e6d5
75: a7b8
76: c8b7
77: b8e8
78: c6c7
79: e8e7
80: c7c8
81: e7f8
82: c8c7
83: f2d4
84: b7c6
85: e5e6
86: h6h5
87: f8g7
88: c7c8
89: d4b6
90: c6d7
91: g7d7
92: c8b8
93: d7c7
94: b8a8
95: c7c8
