Result: White wins by checkmate

1: e2e3
2: e8g8
3: g1f3
4: b8d7
5: c4c5
6: b7b6
7: c5c6
8: d7b8
9: d1a4
10: d8e8
11: g5f6
12: e7f6
13: f1b5
14: g7g6
15: h2h4
16: h7h6
17: a1c1
18: f6d8
19: h4h5
20: g6g5
21: f3e5
22: a7a6
23: f2f4
24: g8h7
25: g2g4
26: d8e7
27: a2a3
28: e8d8
29: b5d3
30: h7g7
31: d3b1
32: b6b5
33: a4d1
34: e7d6
35: c3e2
36: a6a5
37: d1c2
38: f8h8
39: e5f7
40: g7f7
41: c2g6
42: f7f8
43: e1g1
44: d6f4
45: e2f4
46: g5f4
47: f1f4
48: f8e7
49: g6f6
50: e7d6
51: f6e5
52: d6e7
53: b1g6
54: h8f8
55: c1f1
56: f8f4
57: f1f4
58: d8g8
59: f4f7
60: g8f7
61: g6f7
62: b8c6
63: e5g7
64: c8a6
65: g4g5
66: h6g5
67: f7e8
68: e7e8
69: g7g8
70: e8d7
71: g8a8
72: e6e5
73: d4e5
74: c6e5
75: a8d5
76: d7c8
77: b2b3
78: b5b4
79: d5a8
80: c8d7
81: a3b4
82: a6e2
83: a8d5
84: d7c8
85: h5h6
86: a5b4
87: d5e5
88: e2d3
89: e5e6
90: c8b8
91: e6g8
92: b8a7
93: g8c8
94: a7b6
95: c8e6
96: c7c6
97: e6d7
98: d3b5
99: d7d8
100: b6a6
101: d8c7
102: b5c4
103: c7c6
104: a6a7
105: c6c7
106: a7a6
107: c7c4
108: a6b6
109: e3e4
110: b6a5
111: e4e5
112: a5b6
113: e5e6
114: b6a7
115: h6h7
116: a7b8
117: h7h8q
118: b8b7
119: h8g7
120: b7b8
121: c4b5
122: b8a8
123: g7a1
