Result: Draw by threefold repetition

1: b2b4
2: c5d6
3: b4b5
4: c6a5
5: c4d3
6: e8g8
7: d1a4
8: c7c5
9: c3c4
10: a7a6
11: b1c3
12: d6c7
13: e1g1
14: f6h5
15: c3d5
16: a6b5
17: a4b5
18: d7d6
19: d3e2
20: h5f6
21: d2d3
22: h7h6
23: f3d2
24: a8a6
25: b5b2
26: a5c6
27: d5c3
28: c6d4
29: d2b3
30: f6d7
31: f2f4
32: d4e2
33: b2e2
34: e5f4
35: c3b5
36: g7g5
37: h2h4
38: d7e5
39: g2g3
40: c8g4
41: e2g2
42: d6d5
43: b5c7
44: f4f3
45: g2h2
46: d8c7
47: c1e3
48: e5d3
49: c4d5
50: c7e7
51: h2d2
52: c5c4
53: h4g5
54: f7f5
55: b3c1
56: f5e4
57: c1d3
58: c4d3
59: g1f2
60: h6g5
61: a1c1
62: a6h6
63: f1h1
64: e7h7
65: e3c5
66: h6h2
67: h1h2
68: h7h2
69: f2e3
70: h2g3
71: e3d4
72: f8f5
73: d4c4
74: g3e5
75: d2a5
76: e5d5
77: c4b4
78: f3f2
79: a5b6
80: d5c6
81: c5f2
82: c6b6
83: f2b6
84: f5d5
85: b4c4
86: d5d7
87: b6e3
88: d3d2
89: e3d2
90: d7d2
91: c4c3
92: d2g2
93: a2a4
94: g4f3
95: c1b1
96: g8h7
97: b1b7
98: h7g6
99: b7b8
100: g2g1
101: c3b2
102: e4e3
103: b8e8
104: e3e2
105: e8e2
106: f3e2
107: b2c3
108: e2f3
109: c3d4
110: g1d1
111: d4e3
112: f3c6
113: e3e2
114: d1d4
115: a4a5
116: d4a4
117: a5a6
118: a4a6
119: e2d2
120: g5g4
121: d2d3
122: g6g5
123: d3c3
124: g5f4
125: c3c4
126: c6f3
127: c4b4
128: a6c6
129: b4a5
130: c6e6
131: a5b4
132: e6c6
133: b4a5
134: c6c1
135: a5b4
