Result: Black wins by checkmate

1: f2f3
2: e7e5
3: f1b5
4: b8d7
5: d4f5
6: a7a6
7: b5d7
8: d8d7
9: c2c4
10: d7c7
11: c1g5
12: c7b6
13: d1e2
14: c8f5
15: e4f5
16: a8c8
17: b2b3
18: b6d4
19: g5e3
20: d4a1
21: e1g1
22: e5e4
23: f1d1
24: a1e5
25: e3d4
26: e5f5
27: b1c3
28: c8d8
29: f3e4
30: f5g4
31: e2c2
32: h7h5
33: h2h3
34: g4g6
35: d4f6
36: g6f6
37: c3d5
38: f6h6
39: d5c7
40: e8d7
41: c7d5
42: d7e8
43: b3b4
44: f8e7
45: g1h2
46: d8c8
47: d1b1
48: h6e6
49: b4b5
50: e6e5
51: h2h1
52: h8h6
53: b5a6
54: b7a6
55: b1b7
56: h6e6
57: d5b6
58: c8d8
59: c2a4
60: e8f8
61: b6d7
62: d8d7
63: a4d7
64: g7g6
65: d7c8
66: f8g7
67: b7b8
68: g7h6
69: b8b1
70: h6h7
71: b1f1
72: e6f6
73: f1c1
74: e5c5
75: c8e8
76: c5g5
77: c1g1
78: f6f2
79: e8a4
80: g5f6
81: a4a6
82: f6d4
83: a6b7
84: e7d8
85: a2a4
86: h7h6
87: c4c5
88: d6c5
89: b7a7
90: d8f6
91: a4a5
92: f6e5
93: a7b7
94: d4c3
95: g1d1
96: c3g3
97: b7f7
98: g3g2
