Result: Draw by threefold repetition

1: d2d3
2: e4f6
3: d3d4
4: g7g6
5: c2c4
6: c8f5
7: f1d3
8: d8e7
9: e1f1
10: e7e6
11: f3g5
12: e6d7
13: d1e2
14: f8e7
15: b1c3
16: b8c6
17: d4d5
18: f5d3
19: e2d3
20: c6e5
21: d3d4
22: f6h5
23: f2f4
24: d7f5
25: f1e2
26: f5g4
27: e2f1
28: e7g5
29: c3e2
30: g4f5
31: h2h4
32: g5f6
33: d4f2
34: e5g4
35: f2f3
36: e8g8
37: f3h3
38: a7a6
39: h3f3
40: f5c8
41: f4f5
42: g4e5
43: f3h3
44: h5g7
45: e2g3
46: h7h5
47: g3e4
48: e5g4
49: h3g4
50: h5g4
51: e4f6
52: g8h8
53: c1g5
54: c8f5
55: f1g1
56: g4g3
57: a1f1
58: f5e5
59: h1h3
60: e5d4
61: g1h1
62: d4d3
63: h3g3
64: d3f1
65: h1h2
66: g7f5
67: g3f3
68: f1e1
69: f6d7
70: f7f6
71: b2b3
72: f6g5
73: d7f8
74: e1h4
75: f3h3
76: h4h3
77: h2h3
78: a8f8
79: a2a4
80: f5e3
81: h3h2
82: h8g8
83: a4a5
84: g5g4
85: h2g3
86: g8g7
87: b3b4
88: e3c4
89: g3h4
90: c4e3
91: h4g5
92: g4g3
93: b4b5
94: f8f5
95: g5h4
96: g7f7
97: h4g3
98: e3d5
99: b5a6
100: f5g5
101: g3h4
102: g5h5
103: h4g3
104: h5g5
105: g3h4
106: g5h5
107: h4g3
