Result: White wins by checkmate

1: c1e3
2: f8g7
3: f2f3
4: c8d7
5: g2g4
6: d8b6
7: b2b3
8: e7e5
9: d4f5
10: b6a5
11: b3b4
12: a5b4
13: c2c3
14: b4a4
15: f5d6
16: e8e7
17: d1d5
18: g8f6
19: d5c5
20: b8a6
21: d6f5
22: e7d8
23: c5e7
24: d8c8
25: f5g7
26: f6g4
27: e3g5
28: a4c6
29: h2h3
30: f7f6
31: g5h4
32: g4e3
33: h4f6
34: c6b6
35: h1h2
36: a6b8
37: h2d2
38: e3f1
39: e1f1
40: d7h3
41: f1e2
42: b8c6
43: e7f7
44: b6g1
45: e2d3
46: g1c1
47: d3c4
48: a8b8
49: g7e8
50: h8e8
51: f7e8
52: c8c7
53: f6e5
54: c7b6
55: e5b8
56: h3f1
57: c4d5
58: g6g5
59: e8f8
60: a7a5
61: f8a3
62: c1e1
63: a3c5
64: b6a6
65: d2b2
66: e1d1
67: b1d2
68: d1d2
69: b2d2
70: g5g4
71: b8c7
72: f1c4
73: d5d6
74: c4d5
75: c5b6
