Result: White wins by checkmate

1: g1f3
2: c8g4
3: h2h3
4: g4f3
5: d1f3
6: b8d7
7: f3d5
8: f6d5
9: f1c4
10: e7e6
11: d4c5
12: e8c8
13: c1g5
14: d8e8
15: b1d2
16: h7h6
17: c5c6
18: h6g5
19: c6d7
20: c8d7
21: c4b5
22: d7e7
23: c3c4
24: e8d8
25: g2g4
26: d5f4
27: d2e4
28: a7a6
29: b5a4
30: g7g6
31: a1d1
32: f8h6
33: e4c5
34: h6g7
35: d1d8
36: h8d8
37: c5b7
38: d8c8
39: b2b3
40: c8c7
41: e1d2
42: c7b7
43: a4c6
44: b7a7
45: b3b4
46: a7c7
47: b4b5
48: g7d4
49: h3h4
50: d4c5
51: h4h5
52: a6b5
53: h5g6
54: b5c4
55: g6g7
56: c5b4
57: d2c2
58: c7c8
59: h1h8
60: c8c6
61: g7g8q
62: e7d6
63: g8f8
64: d6d5
65: f8b4
66: f4d3
67: b4e7
68: d5e4
69: e7a7
70: d3b4
71: c2c1
72: c6d6
73: h8c8
74: e4e5
75: a7e3
76: e5f6
77: e3c3
78: f6g6
79: c8g8
80: g6h7
81: c3h8
