Result: Black wins by checkmate

1: a2a4
2: e8g8
3: d1d3
4: b8a6
5: d3d2
6: c7c5
7: g1e2
8: d8c7
9: c4a6
10: b7a6
11: d4d5
12: c8b7
13: h2h3
14: e7e6
15: e2f4
16: a8e8
17: f2f3
18: c5c4
19: a1a3
20: e6d5
21: c3d5
22: b7d5
23: f4d5
24: c7b7
25: d5f6
26: g7f6
27: a3e3
28: f6g5
29: e1f2
30: b7c6
31: d2b4
32: e8b8
33: b4c3
34: c6b6
35: h3h4
36: g5e3
37: c1e3
38: b6b2
39: c3c4
40: f8c8
41: c4a6
42: b2e5
43: h1c1
44: e5h2
45: a6a7
46: b8b2
47: e3d2
48: h7h6
49: a7d7
50: c8c2
51: d7d8
52: g8g7
53: f2e3
54: b2b3
55: e3f2
56: c2d2
57: f2e1
58: h2g3
59: e1d2
60: g3f2
61: d2d1
62: b3d3
