Result: White wins by checkmate

1: c3a4
2: c8g4
3: f2f3
4: g4c8
5: g1e2
6: e8g8
7: c1g5
8: c5b6
9: a2a3
10: b6a5
11: b2b4
12: c8d7
13: a4c3
14: b7b5
15: c4a2
16: a5b6
17: a2d5
18: c7c6
19: d5b3
20: b8a6
21: d1c1
22: h7h6
23: g5e3
24: c6c5
25: c3d5
26: a6c7
27: d5f6
28: g7f6
29: e2g3
30: f6f5
31: e4f5
32: d8h4
33: e1g1
34: g8h7
35: c1e1
36: c5b4
37: a3b4
38: b6d4
39: c2c3
40: d4e3
41: e1e3
42: h4g5
43: e3e4
44: g5f6
45: d3d4
46: a7a5
47: e4b7
48: a5a4
49: b7c7
50: f8c8
51: c7d7
52: c8c3
53: b3f7
54: c3c8
55: g3h5
56: f6h4
57: f7g8
58: h7h8
59: d7g7
