Result: Draw by threefold repetition

1: g1f3
2: e7e6
3: c3c4
4: d5d8
5: f1e2
6: b8c6
7: c1e3
8: c5d4
9: f3d4
10: f8c5
11: d4c6
12: d8d1
13: e2d1
14: c5e3
15: c6e5
16: e3d4
17: d1a4
18: e8e7
19: e5d3
20: e6e5
21: b1a3
22: e5e4
23: a3c2
24: h8d8
25: d3f4
26: d4b2
27: a1d1
28: d8d1
29: e1d1
30: c8g4
31: d1d2
32: a8d8
33: d2e3
34: b2c3
35: f4d5
36: f6d5
37: c4d5
38: d8d5
39: e3f4
40: f7f5
41: f2f3
42: e4f3
43: g2f3
44: d5a5
45: a4b3
46: c3e5
47: f4e3
48: f5f4
49: e3f2
50: g4e6
51: h1e1
52: e6b3
53: a2b3
54: e7f6
55: b3b4
56: a5a2
57: e1c1
58: e5d4
59: f2f1
60: d4b6
61: f1e2
62: b6e3
63: e2d1
64: e3c1
65: d1c1
66: a2a4
67: c1d2
68: a4a6
69: d2c3
70: b7b5
71: c2d4
72: a6d6
73: d4b5
74: d6d7
75: b5d4
76: h7h6
77: b4b5
78: g7g5
79: d4b3
80: d7h7
81: c3c4
82: f6g6
83: c4d5
84: g6h5
85: b3d4
86: h5h4
87: d5e6
88: h7b7
89: e6f5
90: b7b8
91: f5f6
92: b8b6
93: f6e5
94: h4h3
95: e5f5
96: b6b8
97: f5g6
98: b8b6
99: g6f5
100: a7a5
101: b5a6
102: b6a6
103: d4e6
104: a6e6
105: f5e6
106: h3h2
107: e6f6
108: h2h3
109: f6g6
110: g5g4
111: f3g4
112: h3g4
113: g6h6
114: f4f3
115: h6g6
116: f3f2
117: g6f6
118: g4f4
119: f6e6
120: f4f3
121: e6f5
122: f3g2
123: f5e4
124: g2g1
125: e4d5
126: g1f1
127: d5d4
128: f1g1
129: d4d5
130: g1f1
131: d5d4
132: f1e1
133: d4d5
