Result: Draw by threefold repetition

1: g1f3
2: c8g4
3: h2h3
4: g4h5
5: g2g4
6: f6g4
7: f1b5
8: b8d7
9: b5d7
10: e8d7
11: h3g4
12: h5g4
13: f3e5
14: a5e5
15: d4e5
16: g4d1
17: e1d1
18: d7e6
19: f2f4
20: a8d8
21: d1e2
22: f7f6
23: c3e4
24: b7b6
25: b2b3
26: h7h6
27: c1b2
28: h8g8
29: a1f1
30: f6f5
31: e4f2
32: c7c5
33: c2c4
34: e6f7
35: f1e1
36: e7e6
37: e1g1
38: f8e7
39: g1g2
40: a7a5
41: g2h2
42: d8d7
43: b2c3
44: g8d8
45: h2h3
46: d7a7
47: a2a4
48: a7d7
49: h1g1
50: d7a7
51: h3g3
52: d8h8
53: g3g7
54: f7f8
55: e2d3
56: a7d7
57: d3c2
58: h6h5
59: f2h3
60: f8e8
61: c3e1
62: d7d4
63: g7g6
64: e8f7
65: g6g7
66: f7e8
67: g7g6
68: e8f7
69: g1g2
70: f7e8
