Result: White wins by checkmate

1: a2a3
2: b4d6
3: e1g1
4: a7a5
5: f1e1
6: e8g8
7: d2d4
8: e5d4
9: c3d5
10: d6c5
11: c1g5
12: d7d6
13: g5h4
14: f8e8
15: d1d2
16: e8e6
17: b2b4
18: c5a7
19: g1h1
20: f6e4
21: e1e4
22: d8f8
23: e4e6
24: f7e6
25: d5c7
26: c6e5
27: f3e5
28: d6e5
29: c7a8
30: b7b6
31: b4a5
32: b6a5
33: d2a5
34: a7c5
35: a8b6
36: c8b7
37: b5c4
38: b7g2
39: h1g2
40: f8f5
41: a5c5
42: h7h6
43: c5c6
44: g8h7
45: c4e6
46: f5f4
47: g2h3
48: g7g5
49: c6d7
50: h7g6
51: d7e8
52: g6g7
53: e8g8
54: g7f6
55: g8f7
