Result: Black wins by checkmate

1: g5f6
2: e7f6
3: g1f3
4: d5c4
5: e2e4
6: b8c6
7: e4e5
8: f6e7
9: f1e2
10: c6a5
11: d1a4
12: c7c6
13: c3e4
14: b7b5
15: a4d1
16: e7b4
17: e1f1
18: d8b6
19: d1c2
20: c8b7
21: f3g5
22: h7h6
23: g5f3
24: a8d8
25: a1d1
26: b4e7
27: c2c1
28: e8g8
29: c1e3
30: b7a8
31: e4f6
32: g8h8
33: b2b3
34: c6c5
35: b3c4
36: a5c4
37: e3c1
38: c5d4
39: h1g1
40: e7a3
41: c1b1
42: g7g6
43: f3d4
44: c4b2
45: f6d7
46: d8d7
47: b1c1
48: g6g5
49: c1c3
50: b5b4
51: c3h3
52: h8h7
53: h3h5
54: b2d1
55: h2h4
56: b6d4
57: h5h6
58: h7h6
59: h4g5
60: h6g7
61: g5g6
62: d4f2
