Result: White wins by checkmate

1: d2d3
2: e4f6
3: d3d4
4: d6d5
5: f1b5
6: c8d7
7: b5d3
8: a7a6
9: d1e2
10: d7e6
11: f3g5
12: d8c8
13: d3f5
14: e8e7
15: e1g1
16: h7h6
17: g5f3
18: b8c6
19: f1e1
20: e7d8
21: f5e6
22: c8e6
23: e2d1
24: e6g4
25: h2h3
26: g4f5
27: f3h4
28: f5h7
29: b1c3
30: f8d6
31: h4f3
32: c6b4
33: e1e2
34: g7g5
35: a2a3
36: b4c6
37: c1e3
38: c6e7
39: e2e1
40: g5g4
41: h3g4
42: f6g4
43: f3e5
44: g4e3
45: d1f3
46: e3g2
47: g1g2
48: f7f6
49: f3f6
50: h8g8
51: e5g4
52: h7c2
53: c3d5
54: c2b3
55: d5e7
56: g8g4
57: g2f1
58: b3h3
59: f1e2
60: g4e4
61: e2d2
62: e4f4
63: e7f5
64: d8d7
65: e1e7
66: d7c6
67: e7c7
68: c6b5
69: f5d6
70: b5b6
71: d6c4
72: b6c7
73: f6d6
74: c7c8
75: c4b6
