Result: Draw by threefold repetition

1: f2f4
2: c8g4
3: g1f3
4: e8g8
5: e1g1
6: b8c6
7: c4b3
8: e7e6
9: e4e5
10: f6h5
11: c1e3
12: f8e8
13: h2h3
14: g4f5
15: g2g4
16: h5g3
17: f1f2
18: g3e4
19: g4f5
20: e4f2
21: g1f2
22: g6f5
23: b3a4
24: a7a6
25: d1d2
26: d8e7
27: d4d5
28: b7b5
29: a1g1
30: c6a5
31: e5d6
32: e7d6
33: a4b5
34: e8d8
35: b5d3
36: c7c5
37: c3e2
38: d6c7
39: d2c3
40: f7f6
41: d5e6
42: d8d5
43: f3h4
44: g8h8
45: b2b4
46: c7d6
47: b4a5
48: a8g8
49: g1g7
50: h8g7
51: h4f5
52: d5f5
53: d3f5
54: c5c4
55: f5g4
56: d6c6
57: e2g3
58: c6e8
59: g3f5
60: g7g6
61: c3c4
62: h7h5
63: c4e4
64: g6h7
65: e4b7
66: h7h8
67: b7f7
68: e8f7
69: e6f7
70: h5g4
71: f7g8r
72: h8g8
73: h3g4
74: g8f7
75: e3b6
76: f7e6
77: f2e3
78: e6d5
79: a2a3
80: d5c4
81: a3a4
82: c4b4
83: b6d4
84: b4a4
85: d4a7
86: a4a5
87: a7b8
88: a5b6
89: c2c4
90: b6c5
91: e3d3
92: c5c6
93: b8a7
94: c6c7
95: d3e3
96: a6a5
97: e3d3
98: c7c6
99: d3c3
100: a5a4
101: a7e3
102: a4a3
103: f5d4
104: c6b7
105: d4c2
106: b7c7
107: c3b3
108: c7c8
109: b3a2
110: c8d7
111: c2d4
112: d7e7
113: d4f5
114: e7d7
115: f5g7
116: d7c7
117: g7h5
118: f6f5
119: g4g5
120: c7d7
121: e3c1
122: d7c7
123: c1e3
124: c7d7
125: e3d4
126: d7c7
