Result: Draw by threefold repetition

1: f3e5
2: d5c4
3: e2e4
4: c7c5
5: d4d5
6: f8d6
7: d1a4
8: c8d7
9: e5d7
10: d8d7
11: a4c4
12: a7a6
13: g2g3
14: b6b5
15: d5e6
16: f7e6
17: c4e2
18: d6c7
19: c1e3
20: b5b4
21: c3d1
22: c7d6
23: e4e5
24: d7b7
25: e3g5
26: e8d7
27: e2d3
28: f6e8
29: d1e3
30: h8f8
31: f1g2
32: b7b5
33: e3c4
34: f8f5
35: f2f4
36: h7h6
37: e1c1
38: a8a7
39: g2e4
40: f5f8
41: g5h4
42: g7g5
43: f4f5
44: e6f5
45: e4f5
46: d7d8
47: f5h3
48: b8c6
49: d3d5
50: c6d4
51: c4d6
52: e8d6
53: h4g5
54: h6g5
55: c1b1
56: b5b7
57: d1d4
58: c5d4
59: d5d6
60: d8e8
61: d6g6
62: f8f7
63: h1c1
64: e8f8
65: h3f5
66: f7f5
67: g6f5
68: f8g7
69: h2h4
70: b7f7
71: f5g4
72: d4d3
73: e5e6
74: f7f2
75: e6e7
76: a7e7
77: g4g5
78: g7f7
79: g5h5
80: f7g7
81: h5g5
82: g7f7
83: g5d5
84: f7g7
