Result: Draw by threefold repetition

1: f1c4
2: c7c5
3: e1g1
4: h7h6
5: f1e1
6: b8c6
7: a2a3
8: f8d6
9: d4c5
10: d6c5
11: d1c2
12: c8d7
13: b2b4
14: c5f8
15: c2e2
16: a7a5
17: b4b5
18: c6e7
19: e3e4
20: a5a4
21: b1c3
22: d8c8
23: b5b6
24: e7g6
25: c3b5
26: f8e7
27: b5c7
28: e8f8
29: c1e3
30: a8a5
31: e2d2
32: a5h5
33: e1c1
34: f6e4
35: d2d1
36: f8g8
37: c4d3
38: e4c5
39: d3e2
40: d7c6
41: g2g4
42: h5d5
43: c7d5
44: c6d5
45: c1c5
46: e7c5
47: a1c1
48: e6e5
49: f3e5
50: d5b3
51: d1d4
52: c5d4
53: c1c8
54: g8h7
55: c8h8
56: h7h8
57: e3d4
58: g6f4
59: e2b5
60: f4e6
61: d4c3
62: e6g5
63: h2h4
64: g5e4
65: c3b4
66: e4f6
67: b5e2
68: f6d5
69: b4d6
70: d5c3
71: e2c4
72: h8g8
73: d6b4
74: c3d5
75: c4d5
76: b3d5
77: e5d3
78: g7g5
79: d3c5
80: g5h4
81: g1h2
82: g8g7
83: b4c3
84: g7g6
85: c3d4
86: h6h5
87: h2h3
88: d5f3
89: d4e3
90: h5g4
91: h3h4
92: g6f5
93: c5a4
94: f5e5
95: a4b2
96: f3e2
97: h4g3
98: e5e4
99: b2a4
100: e2f3
101: a4c3
102: e4e5
103: e3f4
104: e5d4
105: c3b5
106: d4c5
107: b5d6
108: c5b6
109: f4d2
110: b6c5
111: d6f7
112: c5d5
113: d2e3
114: f3d1
115: f7h6
116: d5e6
117: h6g8
118: e6f7
119: g8h6
120: f7g6
121: e3c1
122: d1e2
123: h6g8
124: g6f7
125: g8h6
126: f7g6
127: h6g8
128: g6f7
129: g8h6
