Result: Black wins by checkmate

1: b1c3
2: b7b5
3: a4b3
4: f8e7
5: d2d4
6: d7d6
7: d4e5
8: c6e5
9: h2h3
10: c8b7
11: b3d5
12: c7c6
13: d5b3
14: e5g6
15: e1g1
16: d8c7
17: b3f7
18: e8f7
19: f3g5
20: f7g8
21: c1e3
22: h7h6
23: e4e5
24: h6g5
25: e5f6
26: e7f6
27: e3g5
28: f6g5
29: d1g4
30: h8h6
31: f2f4
32: c7b6
33: g1h1
34: g5e7
35: g4e6
36: g8f8
37: e6f5
38: f8g8
39: f5e6
40: g8h8
41: a1e1
42: b7c8
43: e6e3
44: b6b8
45: f1f3
46: c8d7
47: f4f5
48: g6e5
49: f5f6
50: e7f6
51: e3h6
52: g7h6
53: e1e5
54: f6e5
55: f3f1
56: h6h5
57: c3e4
58: h8g7
59: e4c3
60: d7e6
61: a2a4
62: a8a7
63: a4a5
64: e5c3
65: b2c3
66: a7f7
67: f1f7
68: e6f7
69: c3c4
70: b5c4
71: c2c3
72: h5h4
73: h1g1
74: c6c5
75: g2g4
76: b8b1
77: g1f2
78: f7d5
79: f2e2
80: b1d3
81: e2e1
82: d3c2
83: e1f1
84: c2d3
85: f1f2
86: g7g6
87: g4g5
88: d3d2
89: f2f1
90: g6g5
91: f1g1
92: d5f3
93: g1f1
94: g5f5
95: f1g1
96: f5e4
97: g1f1
98: d2c2
99: f1g1
100: e4e3
101: g1f1
102: c2f2
