Result: White wins by checkmate

1: e4g3
2: f5e6
3: g1f3
4: d8a5
5: b2b4
6: a5b4
7: c1d2
8: b4b2
9: a1b1
10: b2a2
11: d1c1
12: e6c8
13: b1b3
14: b7b6
15: g3e4
16: a2b3
17: c2b3
18: c8e6
19: f1c4
20: e6c4
21: b3c4
22: g8f6
23: e4f6
24: e7f6
25: e1g1
26: e8d7
27: c1b1
28: b8a6
29: h2h4
30: a6c7
31: h4h5
32: f8d6
33: b1f5
34: c7e6
35: h5h6
36: h8g8
37: d4d5
38: c6d5
39: f1d1
40: g7g6
41: f5f6
42: g8e8
43: g2g3
44: d7c7
45: c4d5
46: e6d8
47: d1c1
48: c7d7
49: d2g5
50: a7a6
51: g5f4
52: d6f4
53: g3f4
54: a8c8
55: c1a1
56: c8c5
57: g1h2
58: d7c7
59: a1a6
60: c5b5
61: a6a2
62: b5d5
63: a2a7
64: c7c8
65: f6b6
66: d5h5
67: h2g3
68: h5h3
69: g3g2
70: h3h2
71: f3h2
72: d8e6
73: b6c6
74: c8d8
75: c6a8
