Result: Black wins by checkmate

1: d2d4
2: e5d4
3: e4e5
4: d7d5
5: e5f6
6: d5c4
7: f6g7
8: h8g8
9: c1g5
10: f7f6
11: d1e2
12: d8e7
13: g5f6
14: e7e2
15: e1e2
16: d4d3
17: e2d2
18: h7h6
19: b1a3
20: c5a3
21: b2a3
22: e8f7
23: f6e5
24: c8g4
25: h2h3
26: g4f3
27: h1b1
28: f3g2
29: e5f4
30: c6e7
31: b1b4
32: g2d5
33: a1e1
34: b7b6
35: f4e5
36: c7c5
37: b4b5
38: e7g6
39: a3a4
40: d5g2
41: e5c7
42: g2c6
43: b5b1
44: h6h5
45: c7b6
46: g6h4
47: e1f1
48: a8e8
49: b6a7
50: e8e2
51: d2d1
52: c6a4
53: b1b3
54: c4b3
55: a2b3
56: a4b3
57: d1c1
58: d3d2
59: c1b1
60: h4g6
61: a7c5
62: g8e8
63: f1d1
64: b3d1
65: f2f4
66: d1a4
67: g7g8q
68: e8g8
69: c5e3
70: d2d1r
71: e3c1
72: d1g1
73: f4f5
74: g6h8
75: f5f6
76: g8b8
77: b1a1
78: b8b6
79: h3h4
80: f7f6
81: c3c4
82: g1c1
