Result: Black wins by checkmate

1: d4c6
2: d8f6
3: d1h5
4: f6f2
5: e1d1
6: g8f6
7: h5e5
8: e8f8
9: e5c7
10: d7c6
11: c7d8
12: f6e8
13: d8e8
14: f8e8
15: h2h3
16: a7a5
17: b1d2
18: f2h4
19: d2f3
20: c8g4
21: f1e2
22: g4f3
23: g2f3
24: h8g8
25: c1d2
26: a5a4
27: d2c3
28: c5e3
29: c3d2
30: a8d8
31: e2d3
32: h4f2
33: d2e3
34: f2e3
35: a2a3
36: g7g5
37: h1f1
38: e3b6
39: d1c1
40: b6e3
41: c1b1
42: e3d4
43: b1a2
44: b7b5
45: a1d1
46: e8e7
47: d3e2
48: d4f6
49: f1g1
50: f6e6
51: b2b3
52: h7h6
53: a2b2
54: e6f6
55: b2b1
56: a4b3
57: d1d8
58: g8d8
59: e2d1
60: b3c2
61: b1c2
62: f6a1
63: g1h1
64: a1a3
65: h3h4
66: a3a2
67: c2c1
68: a2a3
69: c1b1
70: a3b4
71: b1c1
72: b4c3
73: c1b1
74: g5h4
75: d1c2
76: h6h5
77: h1d1
78: d8d1
79: c2d1
80: c3d2
81: d1c2
82: d2e2
83: f3f4
84: e2d2
85: b1b2
86: d2f4
87: b2c3
88: f4e3
89: c2d3
90: e3c5
91: c3d2
92: h4h3
93: d3b5
94: h3h2
95: b5d3
96: e7e6
97: d3c2
98: e6e5
99: c2d3
100: e5f4
101: e4e5
102: c5d4
103: e5e6
104: f7e6
105: d2c2
106: d4c5
107: c2b3
108: c5b6
109: b3c4
110: b6a6
111: c4c3
112: a6a3
113: c3d2
114: a3b2
115: d3c2
116: c6c5
117: d2d3
118: b2d4
119: d3e2
120: d4c3
121: c2e4
122: f4e4
123: e2f1
124: c3c2
125: f1e1
126: c2a2
127: e1f1
128: h5h4
129: f1e1
130: h2h1q
