Result: Black wins by checkmate

1: c3a4
2: c5d4
3: c2c3
4: d4b6
5: a4b6
6: a7b6
7: c4b5
8: c7c6
9: b5a4
10: d6d5
11: g1f3
12: c8g4
13: h2h3
14: g4f3
15: g2f3
16: e8g8
17: c1e3
18: f8e8
19: h1g1
20: g7g6
21: e3g5
22: b8a6
23: d3d4
24: a6c7
25: d4e5
26: e8e5
27: d1d4
28: e5g5
29: e1c1
30: g5g1
31: d1g1
32: c7e6
33: d4d1
34: d8e7
35: e4d5
36: f6d5
37: a4b3
38: a8d8
39: d1e1
40: e7f8
41: c1b1
42: e6f4
43: e1d2
44: f4e6
45: g1d1
46: h7h5
47: b3d5
48: c6d5
49: d2e2
50: f8e7
51: d1e1
52: e7f6
53: f3f4
54: d8a8
55: e2e3
56: b6b5
57: e3b6
58: a8f8
59: b6b5
60: d5d4
61: c3d4
62: e6f4
63: e1e3
64: f6d4
65: b5b3
66: d4d6
67: h3h4
68: f4e6
69: a2a3
70: d6c6
71: b1a2
72: e6d4
73: b3c3
74: c6d7
75: a2a1
76: d4f5
77: e3d3
78: d7c8
79: c3c8
80: f8c8
81: d3d7
82: f5h4
83: a1b1
84: h4f5
85: d7b7
86: h5h4
87: b2b4
88: g8g7
89: b1b2
90: c8e8
91: b7c7
92: g6g5
93: c7c5
94: g7f6
95: c5c6
96: e8e6
97: c6e6
98: f7e6
99: b2c3
100: f5d6
101: a3a4
102: h4h3
103: f2f4
104: h3h2
105: f4g5
106: f6g6
107: b4b5
108: h2h1q
109: c3b4
110: h1c1
111: b4b3
112: c1b1
113: b3c3
114: e6e5
115: c3d2
116: b1b3
117: a4a5
118: d6f5
119: b5b6
120: f5d4
121: d2e1
122: b3b2
123: e1f1
124: g6h5
125: f1g1
126: b2e2
127: g1h1
128: h5g4
129: g5g6
130: g4g3
131: b6b7
132: e2g2
